drug,di_raw,di_raw_ci_low,di_raw_ci_high,magnitude_cv,mean_norm,n_contexts,di_corrected,di_corrected_ci_low,di_corrected_ci_high,dataset
ULK-101,0.8851800074078291,0.8442702625980433,0.886199075398358,0.36685638756632866,71.42271924475999,50,0.8760734415747926,0.8351636967650068,0.8770925095653215,Tahoe-100M
Vemurafenib,0.8129438423636492,0.7629013178927927,0.8261856016174792,0.395390509556793,65.1174981170285,50,0.8046412071551913,0.7545986826843347,0.8178829664090213,Tahoe-100M
Volasertib,0.9288115885662748,0.8973890157114873,0.9203049344697033,0.2353266990620233,111.82114668540187,49,0.9145541275708934,0.8831315547161059,0.9060474734743219,Tahoe-100M
XRK3F2,0.8200431460046799,0.775274335770908,0.8272583254706177,0.2782360216189397,97.67093276033718,49,0.8075898707925162,0.7628210605587443,0.8148050502584541,Tahoe-100M
palbociclib,0.8727501848010684,0.8334125369345653,0.8730436778238172,0.2511251302090609,110.3015858262771,49,0.8586864714135525,0.8193488235470494,0.8589799644363013,Tahoe-100M
venetoclax,0.8027104037146194,0.7567748336295417,0.8121257150151818,0.17521899880905187,131.65775960440433,49,0.7859237275988741,0.7399881575137963,0.7953390388994365,Tahoe-100M
vincristine,0.8851481557365074,0.8537335029986051,0.8770663756921847,0.16047646635347662,151.21936532651708,48,0.8658673285692198,0.8344526758313174,0.8577855485248971,Tahoe-100M
Hydroxyfasudil,0.8733041158845116,0.8347789371995983,0.8742467963396541,0.3553641577724447,73.446062528711,49,0.8639395689914852,0.8254143903065718,0.8648822494466276,Tahoe-100M
Methylprednisolone succinate,0.8984045842133391,0.8611557915663879,0.8975689975939707,0.3412805873958265,79.15086667308316,49,0.8883126612829025,0.8510638686359513,0.8874770746635341,Tahoe-100M
PF-06260933,0.8592692631940448,0.8169253942032151,0.865525020166497,0.6601957673214547,36.69318809611275,50,0.8545907948221513,0.8122469258313215,0.8608465517946035,Tahoe-100M
Ralimetinib dimesylate,0.8866214828359654,0.8453351811794847,0.8889633034662934,0.36030638194824544,68.72649385531632,49,0.8778586921247572,0.8365723904682765,0.8802005127550852,Tahoe-100M
Sonidegib,0.9200827293151136,0.8869746239646454,0.912005398384342,0.24388131746476024,104.87233059370983,48,0.9067112588262516,0.8736031534757834,0.89863392789548,Tahoe-100M
c-Kit-IN-1,0.7142998260734429,0.6615000707375175,0.7381157846927955,0.22679502545097618,90.69136374828254,49,0.702736462437968,0.6499367071020425,0.7265524210573205,Tahoe-100M
olaparib,0.836373179422248,0.7909010713903389,0.8479715393751143,0.5136842834679339,50.89600333031587,50,0.8298838184756614,0.7844117104437524,0.8414821784285277,Tahoe-100M
(R)-Verapamil (hydrochloride),0.9247654481666961,0.8910976357706386,0.9212793500925819,0.5002981661114242,51.25125499331431,50,0.9182307917918396,0.8845629793957821,0.9147446937177254,Tahoe-100M
18β-Glycyrrhetinic acid,0.8746869836083401,0.8335115718856488,0.8774287733958245,0.4706948253963404,51.20528816468604,50,0.8681581881129833,0.826982776390292,0.8708999779004677,Tahoe-100M
8-Hydroxyquinoline,0.8937199241758813,0.8587601989162909,0.890214218268758,0.28239721313500865,95.84182801565456,49,0.8814998641499933,0.8465401388904028,0.87799415824287,Tahoe-100M
Acetohexamide,0.8775249927625474,0.8373642886736818,0.8810484709175624,0.4943931953791729,48.823956815269014,50,0.8712998226532449,0.8311391185643794,0.87482330080826,Tahoe-100M
Adenine,0.9269828560395103,0.8940886568234895,0.919997501924867,0.26873645243717714,98.53818968351425,49,0.9144190035159732,0.8815248042999524,0.9074336494013299,Tahoe-100M
Adenosine,0.8834025116900025,0.8452748931114605,0.8834732948817209,0.34307701531939777,69.26130953846057,49,0.8745715307127474,0.8364439121342054,0.8746423139044658,Tahoe-100M
Aliskiren,0.9257214218961589,0.8930222689079789,0.9190072378321933,0.309673706329836,90.92084208817073,49,0.9141287992289424,0.8814296462407624,0.9074146151649768,Tahoe-100M
Allantoin,0.8655749765183831,0.8264832319586284,0.8673001092565485,0.2566531551500098,102.74146512178697,49,0.8524751964230906,0.8133834518633358,0.854200329161256,Tahoe-100M
Almonertinib (hydrochloride),0.9070518541803939,0.8720957969295428,0.9019855967651679,0.2855178658943819,96.31260410532867,49,0.8947717690882724,0.8598157118374212,0.8897055116730463,Tahoe-100M
Amsacrine,0.8940918986856304,0.859639070007041,0.8909805273096595,0.28272790827103567,94.95383990797285,49,0.8819850592462317,0.8475322305676423,0.8788736878702608,Tahoe-100M
Anethole trithione,0.8826799105110956,0.8480294107725727,0.8802186438464376,0.2692428484656236,96.0136464700469,49,0.8704379432254056,0.8357874434868826,0.8679766765607475,Tahoe-100M
Artesunate,0.8798207836312019,0.8416475934155699,0.8795550815546432,0.260203442725836,100.05065424247732,49,0.8670640882948739,0.828890898079242,0.8667983862183153,Tahoe-100M
Azithromycin (hydrate),0.8949427716965525,0.8580124254873961,0.8910223302792896,0.2948501063198474,93.93301443826866,49,0.8829660899218604,0.8460357437127041,0.8790456485045975,Tahoe-100M
Baicalin,0.8969562128882673,0.8621938617299487,0.8926327402571201,0.27039491686810707,101.09618336268875,49,0.8840662101132946,0.849303858954976,0.8797427374821474,Tahoe-100M
Balsalazide (sodium hydrate),0.8964106683410328,0.859596236760258,0.8971346789883718,0.5016943566250641,48.57842116010656,50,0.8902168046091932,0.8534023730284184,0.8909408152565322,Tahoe-100M
Berbamine,0.9462368531274913,0.9144825051865989,0.9372397042468272,0.2743410207905904,102.20744791429128,49,0.9332051614907096,0.9014508135498173,0.9242080126100456,Tahoe-100M
